scheme_id,benefit_id,benefit_section,benefit
S002,S002-B001,,"**Financial:** Top 50 entrepreneurs will be selected for the Incubation and Pre-Incubation programs facilitated by the IIM Calcutta Innovation Park. Out of these, the top 10 entrepreneurs will be awarded up to Rs. 5 lakhs and the next 40 entrepreneurs will be awarded up to Rs. 4 lakhs."
S002,S002-B002,,"**Government Support:** Eligibility to avail of various Government Support Schemes, Grants, Soft Loans & Pilot Opportunities."
S002,S002-B003,,"**Training & Mentorship:** Training & Mentorship through pre-incubation, incubation support, and funding programs conducted by IIM Calcutta Innovation Park (IIMCP)."
S003,S003-B001,,"Under this scheme, financial assistance of upto ₹15,000/- is provided to registered construction workers for purchasing trade-related tools upon completing skill upgradation training."
S004,S004-B001,,Benefits for the Trainees -***
S004,S004-B002,,COURSES**
S004,S004-B003,,The following 150 Hours courses will be offered in the following five trades -
S004,S004-B004,,"i) Cook – Tandoor, ii) Barman, iii) Baker, iv) Homestay (Multi-Skilled Caretaker), v) Halwai – Indian Sweets"
S004,S004-B005,,"Each course will also have a built-in emphasis on improving the trainees in hygiene, sanitation, behavior, and attitudes in order to enhance their market acceptability."
S004,S004-B006,,STIPEND**
S004,S004-B007,,"A trainee with a minimum attendance of 80% will be paid a uniform **lump-sum stipend of ₹ 1,000/-** in respect of all five courses. This amount would be payable in two equal installments:"
S004,S004-B008,,1\.  The first installment would be paid after the completion of 75 hours of training.
S004,S004-B009,,2\.  The second installment would be paid only after the certified trainee submits his/her feedback on the quality of the course and his/her self-employment status to the Implementing Agency.
S004,S004-B010,,CERTIFICATION**
S004,S004-B011,,The trainees with a minimum attendance of 80 % will be required to appear at the end of the course test and those who pass it successfully will be awarded a **certificate** by the implementing agency under the joint signature of the Principal/Director/Institutional Head and the Programme Coordinator.
S004,S004-B012,,EMPLOYMENT FACILITATION**
S004,S004-B013,,"The Implementing Agency will make conscious efforts to facilitate self-employment of the pass-outs of this Programme by assisting them in obtaining loans (e.g. Mudra), licenses/registrations, etc. Possibilities will also be explored for their deployment at Mega Tourist Destinations/circuits. The Implementing Agency will also sensitize the pass-outs about LMIS and SDMS."
S004,S004-B014,,Transfer of Funds**
S004,S004-B015,,The amount paid as Stipend to the successful trainee shall be transferred only to the individual beneficiary’s Aadhar-linked bank account through the PFMS. The Implementing Agency would also render a true audited account of the expenditure incurred separately on each component to the Ministry of Tourism.
S004,S004-B016,,Funding to the Institute -***
S004,S004-B017,,"The Programme will be funded under the MoT’s Scheme of Capacity Building for Service Providers under Suo Motu Initiatives. The detailed Type-wise breakup of costs for the courses for Baker, Halwai (Indian Sweets), Cook (Tandoor), Homestay (Multi-Skilled Caretaker) & Barman would be as follows -"
S004,S004-B018,,Component and the Cost (in ₹/-):**
S004,S004-B019,,"1\. Training fee, i.e. Material Cost + Trainer Cost = 5,000."
S004,S004-B020,,2\. Course Material (Handouts) = 500.
S004,S004-B021,,"3\. Certification fee (Certificate + Evaluation charges) = 1,000."
S004,S004-B022,,4\. Apron = 300.
S004,S004-B023,,"5\. Lunch (@ Rs.100 for 30 days) = 3,000."
S004,S004-B024,,"6\. Stipend = 1,000."
S004,S004-B025,,"Total = 10,800."
S004,S004-B026,,"Administrative Expenses (5% of 10,800/-) = 540."
S004,S004-B027,,"Grand Total = 11,340."
S004,S004-B028,,"Over and above the costs listed above,"
S004,S004-B029,,1\.  Advertisements in the local papers will be reimbursed on an actual basis subject to the lowest/DAVP rates.
S004,S004-B030,,2\.  **Boarding & Lodging Costs** at the rate of ₹ 2000/- per trainee in respect of all outstation candidates for the entire duration of the course.
S004,S004-B031,,Funds would be released to the Implementing Agencies in two installments as per the following schedule:**
S004,S004-B032,,1\.  First Instalment
S004,S004-B033,,Percentage of Total Cost: 30%
S004,S004-B034,,Output Parameters: On commencement of Training Batch against validated candidates
S004,S004-B035,,2\.  Final Installment
S004,S004-B036,,Percentage of Total Cost: 70%
S004,S004-B037,,Output Parameters: On successful certification of the trainees and submission of Utilization Certificate and consolidated accounts
S005,S005-B001,,ATUFS benefit is available for investment in benchmarked machinery in the following segments:***
S005,S005-B002,,"Weaving, weaving preparatory, and knitting"
S005,S005-B003,,"Processing of fibres, yarns, fabrics, garments, and made-ups"
S005,S005-B004,,Technical textiles
S005,S005-B005,,Garment/made-up manufacturing
S005,S005-B006,,Handloom sector
S005,S005-B007,,Silk sector
S005,S005-B008,,Jute sector
S005,S005-B009,,Capital Investment Subsidy (CIS) is provided as per segment and rates below:**
S005,S005-B010,,| S. No | Segment                                                                              | CIS Rate                 | CIS Cap per Entity |
S005,S005-B011,,| ----- | ------------------------------------------------------------------------------------ | ------------------------ | ------------------ |
S005,S005-B012,,"| 1     | Garmenting, Technical Textiles                                                       | 15% on eligible machines | ₹30 crore          |"
S005,S005-B013,,"| 2     | Weaving (Shuttle-less looms, preparatory, Jute, Silk, Handloom)                      | 10% on eligible machines | ₹20 crore          |"
S005,S005-B014,,| 3(a)  | Composite units (Garmenting + Technical Textiles) > 50% investment in those segments | 15%                      | ₹30 crore          |
S005,S005-B015,,| 3(b)  | Composite units with < 50% investment in Garmenting & Technical Textiles             | 10%                      | ₹20 crore          |
S006,S006-B001,,"The scheme provides a direct cash transfer of ₹ 1,000 to the bank account of the registered beneficiaries/members of the board, for purchasing a branded helmet and a pair of safety shoes."
S007,S007-B001,,"Under this scheme, registered construction workers in Rajasthan who have secured employment in foreign countries are eligible for reimbursement of expenses incurred on obtaining the necessary visa and related documentation."
S007,S007-B002,,"Under this scheme, a maximum amount of Rs.5000/- will be reimbursed from the circle level to the eligible beneficiary for reimbursement of the expenditure incurred for visa for the purpose of employment abroad."
S008,S008-B001,,Category (A) (For Registered Groups above 25 Years with a minimum of 15 productions)***
S008,S008-B002,,Theatres: Traditional / Modern / Shumang Leela
S008,S008-B003,,Dance: Classical / Folk / Tribal Dance
S008,S008-B004,,Music: Hindustani / Sankirtana / Folk / Tribal Music
S008,S008-B005,,Visual Arts: Painting / Sculpture / Graphic
S008,S008-B006,,Literature:
S008,S008-B007,,Category (B) (For Registered Groups above 3 years and below 25 Years)***
S008,S008-B008,,Theatres: Traditional/Modern/Shumang Leela:
S008,S008-B009,,Dance: Classical/Folk/Tribal Dance
S008,S008-B010,,Music: Hindustani/Sankirtana/Folk/Tribal Music
S008,S008-B011,,Visual Arts: Painting / Sculpture / Graphic
S008,S008-B012,,Literature:
S008,S008-B013,,Research & Book Publication (For individual)
S008,S008-B014,,Training on Instrument Making / Costume Making (For individuals)
S008,S008-B015,,Mode of Release of Assistance:***
S008,S008-B016,,The amount of Assistance will be released to the account of the applicant/organization through Direct Benefit Transfer (DBT).
S009,S009-B001,,The scheme provides high-end training to the youth across the state to enable them to find jobs in the private sector.
S009,S009-B002,,A guarantee of a minimum 70% placement to the youth.
S009,S009-B003,,A Stipend of ₹3000/- is to be given to the trainees undergoing the course.
S009,S009-B004,,Cost of Uniforms/ Books to be borne by the state government.
S009,S009-B005,,Boarding and Lodging are to be provided during on-the Job Training within the state.
S009,S009-B006,,"The boarding/ lodging, transportation cost, training fee, etc. shall be borne by the State Govt. @ ₹300/- per day per candidate if training to be outside the State."
S009,S009-B007,,"A job portal for the youth, registration through which would provide a platform and linkage between prospective employers mostly from outside the State, and job seekers of the state in consultation with the Dept. of Labour & Employment"
S009,S009-B008,,Arrangement of Annual Skill Mela in the State of Arunachal Pradesh.
S010,S010-B001,,"The beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)"
S010,S010-B002,,Beneficiary will be given poultry training certificate after completion of training.
S011,S011-B001,,1\.  The apprentices undergo a one-year Apprenticeship Training period.
S011,S011-B002,,2\.  Apprentices receive a monthly stipend during their training.
S011,S011-B003,,"Engineering Graduate: ₹4,984 per month"
S011,S011-B004,,"Technicians: ₹3,542 per month"
S011,S011-B005,,"10+2 Vocational pass-outs: ₹2,758 per month"
S011,S011-B006,,"3\.  The stipend is shared equally between the Central Government and the employer, with the employer initially paying the full stipend and later claiming 50% reimbursement from the Central Government through the respective Boards of Apprenticeship/Practical (BOATs/BOPT)."
S012,S012-B001,,Free Food and Shelter.
S012,S012-B002,,Free Supply of Daily Living Needs.
S012,S012-B003,,Pocket Money of ₹ 5/-.
S012,S012-B004,,"Vocational Training Such as Korai & Coir Mat Weaving, According to Their Interest."
S012,S012-B005,,Labour Charges of ₹ 20 /- for Mat.
S012,S012-B006,,"Recreations Such as TV, Radio, Musical Instrument, Besides Local Trips to Places of Interest and Temples."
S012,S012-B007,,Annual Tour to Places of Interest.
S012,S012-B008,,NOTE:** Contact the authorities below in case of delay in disbursal of benefits:
S012,S012-B009,,"Puducherry: The Director, Directorate of Social Welfare, Saradhambal Nagar, Ellaipillaichavadhy, Puducherry."
S012,S012-B010,,"Karaikal: The Collector, Karaikal."
S012,S012-B011,,"Mahe/Yanam: The Regional Administrator, Mahe/Yanam."
S013,S013-B001,,"Receives a financial assistance of ₹55,000/-."
S013,S013-B002,,The amount is directly transferred to the beneficiary's bank account.
S013,S013-B003,,"The funds can be used for various purposes, including:"
S013,S013-B004,,Higher education
S013,S013-B005,,Vocational training
S013,S013-B006,,Starting a business
S013,S013-B007,,Skill development training
S013,S013-B008,,Marriage expenses
S014,S014-B001,,Stipend***
S014,S014-B002,,"Higher Secondary / ITI and below: ₹ 1,500/-."
S014,S014-B003,,"Any Graduate or 3 years Diploma in Engg. Or equivalent: ₹ 2,500/-."
S014,S014-B004,,"Degree in Engineering or Post Graduate in Arts & Science or equivalent: ₹ 3,000/-."
S014,S014-B005,,"\* Trainees having postgraduate qualification in a trade which requires under graduation as minimum qualification will be paid ₹ 3,000/- per month."
S014,S014-B006,,"\* During the period of training, the trainees may waste some of the raw materials for which an amount of ₹ 300/- per trainee per month is paid to the industrial units which impart training as compensation for wastage."
S014,S014-B007,,\* Stipend payable will be based on the minimum educational qualification fixed for the trade concerned i.e. stipend will be the same for any notified trade irrespective of the trainee possessing higher qualification.
S014,S014-B008,,"Indicative List of Trades under In-Plant Training:** Computer Application, Electrician, Electronics, Composing & Printing, Machinist, Auto Mechanic, A/C Refrigeration, Lab Technician."
S014,S014-B009,,Commencement of Training:** In July.
S014,S014-B010,,Period of Training:** One year.
S015,S015-B001,,"Under the scheme, the financial assistance of ₹10,000/- shall be provided by the Board to registered construction workers or their two children for the purchase of tool kits."
S016,S016-B001,,"₹ 2,000/- credited as Direct Benefit Transfer (DBT) into the bank account."
S017,S017-B001,,"Under the scheme, financial assistance of ₹4,000/- per month will be provided to Transgender students as rent for finding hostel facilities/accommodation during the course."
S018,S018-B001,,Free boarding and lodging for all the inmates.
S018,S018-B002,,Free supply of 4 uniform sets to the inmates per year.
S018,S018-B003,,Free supply of all daily living needs for the inmates.
S018,S018-B004,,"Free medical check-ups, including paediatric and psychiatric services, for all the inmates."
S018,S018-B005,,Annual tours and local picnic trips to places of interest for the inmates.
S018,S018-B006,,Annual Day for prize distribution to winners in sports events and cultural programmes.
S018,S018-B007,,Non-formal education to assist and develop inmates in their day-to-day activities.
S018,S018-B008,,"Training in habits of discipline, cleanliness, good health, drawing, painting, yoga, and other extracurricular activities."
S018,S018-B009,,NOTE:** Contact the authorities below in case of delay in disbursal of benefits:
S018,S018-B010,,"**Puducherry:** The Director, Directorate of Social Welfare, Saradhambal Nagar, Ellaipillaichavadhy, Puducherry."
S018,S018-B011,,"**Karaikal:** The Collector, Karaikal."
S018,S018-B012,,"**Mahe/Yanam:** The Regional Administrator, Mahe/Yanam."
S019,S019-B001,,"Under this scheme, financial assistance of ₹20,000/- is provided to registered construction workers for house repairs."
S020,S020-B001,,MAXIMUM ADMISSIBLE AREA
S020,S020-B002,,Shuttleless Looms : 400 Sq.ft / Loom
S020,S020-B003,,Weaving Preparatory : 40% of Loomage area
S020,S020-B004,,Dormitory : 125 Sq.ft / Person
S020,S020-B005,,SUBSIDY CHART
S020,S020-B006,,| S.No. | Category | Eligible Subsidy on the unit cost of construction  | Cap on Subsidy per Sq.ft  |
S020,S020-B007,,| ----- | -------- | -------------------------------------------------- | ------------------------- |
S020,S020-B008,,| 1     | General  | 40%                                                | ₹ 400                     |
S020,S020-B009,,| 2     | SC       | 75%                                                | ₹ 750                     |
S020,S020-B010,,| 3     | ST       | 90%                                                | ₹ 900                     |
S021,S021-B001,,"Free Bus Passes in Buses Run by the Government and Non Governmental Organizations, Within the Union Territory of Puducherry."
S022,S022-B001,,Free bus pass (valid for one year) for professional travel needs.
S022,S022-B002,,Time Limit for Issue of a Fresh Bus Pass:** Two weeks from the date of application.
S022,S022-B003,,Time Limit for Renewal of the Expired Bus Pass:** Two days form the date of application.
S023,S023-B001,,"The scheme offers a range of benefits for its beneficiaries, which include local communities, tourists, and stakeholders involved in the tourism sector:"
S023,S023-B002,,Improved Infrastructure***
S023,S023-B003,,"Beneficiaries, particularly those residing in areas with significant tourism potential, benefit from improved infrastructure such as better roads, transportation facilities, sanitation, and utilities. Enhanced infrastructure not only improves the quality of life for locals but also provides a more comfortable and convenient experience for tourists."
S023,S023-B004,,Employment Opportunities***
S023,S023-B005,,"The development of tourism infrastructure and services under the Prashad Scheme creates job opportunities for local residents. These jobs span various sectors, including hospitality, tour guiding, transportation, handicrafts, and retail, providing a source of livelihood and economic empowerment for communities."
S023,S023-B006,,Income Generation***
S023,S023-B007,,"Tourism-related activities generate income for beneficiaries involved in providing goods and services to tourists. Local artisans, vendors, homestay owners, and small businesses often experience increased demand for their products and services, leading to higher incomes and improved standards of living."
S023,S023-B008,,Preservation of Cultural Heritage***
S023,S023-B009,,"Communities living near heritage sites and cultural landmarks benefit from the preservation efforts funded by the Prashad Scheme. This not only helps in maintaining their cultural identity but also provides opportunities for cultural exchange and education, as visitors learn about local traditions, customs, and history."
S023,S023-B010,,Promotion of Local Culture and Traditions***
S023,S023-B011,,"The Prashad Scheme often includes initiatives to promote local culture, art, and traditions. This may involve organizing cultural festivals, art exhibitions, and traditional performances, which not only showcase the richness of local heritage but also contribute to community pride and cohesion."
S023,S023-B012,,Increased Tourism Revenues***
S023,S023-B013,,"As tourism flourishes in areas supported by the Prashad Scheme, beneficiaries reap the benefits of increased tourism revenues. This can have a multiplier effect on the local economy, stimulating growth in ancillary sectors such as food and beverage, retail, and transportation."
S023,S023-B014,,Skill Development and Capacity Building***
S023,S023-B015,,"The Prashad Scheme may include provisions for skill development and capacity building programs targeted at local communities. These initiatives equip beneficiaries with the necessary skills and knowledge to actively participate in the tourism industry, empowering them to capitalize on tourism opportunities and contribute to sustainable development."
S024,S024-B001,,A pass of 2400/- per three months for non AC DTC bus is provided.
S025,S025-B001,,"**Subsidy of ₹5,00,000/- per bus to beneficiaries.**"
S026,S026-B001,,"**Access to Loan:** Up to ₹10,00,000/-."
S026,S026-B002,,**Interest Rate:** 13% (subject to change).
S027,S027-B001,,Financial assistance and funding pattern:** 
S027,S027-B002,,The financial ceiling for urban haat is maximum INR 800 lakh for each unit for 80 stalls.
S027,S027-B003,,40% of the admissible amount shall be borne by the O/o the DC(H) and DC(Hl) each and 20% will be contributed by the state implementing agency.
S027,S027-B004,,Land will be provided by state govt and will be over and above the 20 % contribution by the implementing agency. 
S027,S027-B005,,"In case of NER, Jammu & Kashmir, Ladakh – 45 % of the admissible amount will be borne by the O/o the DC (HC) and DC (HL) each and 10% shall be contributed by the implementing agency."
S027,S027-B006,,Assistance will also be given for strengthening/renovation of existing Urban Haats subject to a maximum financial limit of INR 250 lakhs (90% assistance will be borne by the Office of the DC (Handicrafts) & DC(Hl)and 10% by state.
S027,S027-B007,,Note:***
S027,S027-B008,,"The financial assistance will be based on the number of stalls, land area & other deliverables in proportionate manner. The PAMC shall comprise DC (HC), ADC (HC), ADC(HL), representative of IFW and representative of State Implementing agency."
S028,S028-B001,,Benefits of Phase II GCRT Scheme:**
S028,S028-B002,,A single platform to monitor various Solar PV based plants.
S028,S028-B003,,Consumer gets a subsidy of 40% for 1-3 KW and 20% for above 3Kw capacity.
S028,S028-B004,,Consumer can apply hassle free through “National Portal For Rooftop Solar” on [http://solarrooftop.gov.in.](http://solarrooftop.gov.in)﻿
S028,S028-B005,,Consumer has to pay only Beneficiary Share  and CFA will be disbursed to Empaneled  Vendor directly after proper inspection by Jammu & Kashmir Energy Development Agency (JAKEDA).
S029,S029-B001,,One free tour to various places every year.
S029,S029-B002,,NOTE:** Drugs and alcoholic items are prohibited.
S030,S030-B001,,A concession of 10% on GST can be availed through this certificate and zero cess would be applicable. A person availing of this certificate will have to pay 18% GST & no cess instead of 28% GST & applicable cess on the purchase of a car.
S030,S030-B002,,The certificate is issued within a month of receipt of the application complete in all respects.
S030,S030-B003,,The certificate is valid for a period of 6 months from the date of issuance.
S031,S031-B001,,"All educational institutes in Goa, affiliated with a recognized public university, can avail of a one-time grant of up to ₹ 10,00,000 towards capital expenses, for setting up of an incubator within their institute campuses."
S031,S031-B002,,The educational institutes with existing incubation facilities can also avail of the grant for capital expenses for further expansion of incubation facilities.
S031,S031-B003,,The maximum number of institutes to avail of this benefit cannot exceed 15 per year.
S031,S031-B004,,"The educational institutes with existing incubation facilities will also be provided with a grant of up to ₹ 3,00,000 per year, for a period of three years, towards operational expenses."
S031,S031-B005,,Relaxation / Preference / Priority***
S031,S031-B006,,The preference will be given to well-performing applicants.
S031,S031-B007,,NOTE 1:** The institutes claiming the benefits under this scheme cannot restrict the incubation facilities only to the students of their institute.
S031,S031-B008,,NOTE 2:** Under no circumstance shall the benefits under this scheme be considered an entitlement. The SPC shall reserve the sole right to accept or reject applications.
S031,S031-B009,,"NOTE 3:** For the purpose of determining eligible expenses towards capital expenses, Accounting Standard 102 for Fixed Assets by the Institute of Cost Accountants of India would be used."
S032,S032-B001,,"10% subsidy, subject to a maximum of ₹3,00,000 per unit, for the establishment of Ice Plant-cum-Cold Storage."
S032,S032-B002,,"10% subsidy, subject to a maximum of ₹10,00,000 per unit, for the establishment of a Processing Unit."
S032,S032-B003,,"Grant-in-aid for construction and maintenance of fishing harbor, fish landing center, fish landing jetty, fish drying platform, fish curing yard, work sheds, cyclone shelters, community halls, etc."
S033,S033-B001,,i) All visually impaired persons are given travel concession to travel up to 100 Km. to and fro without any condition and free of cost.
S033,S033-B002,,ii) Free-of-cost travel concession is allowed to intellectually disabled persons to travel with one escort.
S033,S033-B003,,iii) The speech and hearing impaired and locomotor differently-abled persons are given travel concession free of cost up to 100 Kms to go to schools/colleges/hospitals/training centers/work spots from their residence and return.
S033,S033-B004,,iv) Free travel concession is provided to children with disabilities to attend early intervention centers and pre-schools along with one escort/parent.
S033,S033-B005,,There is no income ceiling to avail concessions in (i) to (iv).
S034,S034-B001,,Financial Assistance***
S034,S034-B002,,The financial assistance available under the scheme is as follows:
S034,S034-B003,,"1\.  Fellowship @ ₹25,000/- per month for the Initial two years; @ ₹28,000/- per month for the remaining tenure."
S034,S034-B004,,"2\.  Contingency @ ₹10,000/- per annum for initial two years; @ ₹20,500/- per annum for remaining tenure."
S034,S034-B005,,"3\.  Escort Reader Assistance @ ₹2,000/- per month in case of PWD candidates."
S034,S034-B006,,Slots***
S034,S034-B007,,The number of slots for the fellowship may be decided every year on the basis of eligible applications
S034,S034-B008,,"complete in all respects, received through online mode."
S034,S034-B009,,Tenure***
S034,S034-B010,,"The tenure of the fellowship is for five years and will be effective from 1st April of the selection year or the actual date of joining under the fellowship in the University/College/Institute, whichever is later. Fellowship will be granted up to the date of submission of Ph.D. Thesis or 5 years of tenure whichever is earlier. No extension is permissible beyond the total period of five years, and the fellow ceases to be a UGC research fellow immediately after the expiry of the due date."
S034,S034-B011,,HRA***
S034,S034-B012,,"Suitable single-seated hostel accommodation may be provided to the candidates in the institutions. In such cases, the fellow is eligible to draw only hostel fees excluding mess, electricity, water charges, etc. A certificate to this effect is to be furnished through the Registrar/Director/Principal. HRA is not permissible for those candidates who are staying in Hostel accommodation."
S034,S034-B013,,"In case of non-availability of hostel accommodation, the fellow may be provided with single accommodation by the host institution. In such cases, the rent paid by the fellow on an actual basis may be reimbursed subject to the ceiling of HRA as per Govt. of India norms."
S034,S034-B014,,"If the fellow makes her own arrangements of accommodation, she may be entitled to draw HRA as per the categorization of cities by the Govt. of India."
S034,S034-B015,,"Note:** In all the above cases, the fellow will submit a relevant certificate ([Annexure-VI](https://www.ugc.gov.in/pdfnews/1555717_guidelines-SWAMI-Vivekananda.pdf)) through the concerned University/College/Institute to the identified Agency for settling the claim."
S034,S034-B016,,Medical***
S034,S034-B017,,"No separate/fixed medical assistance is provided. However, the fellow may avail of the medical facilities available in the Universities/Colleges/Institutes."
S034,S034-B018,,Leave***
S034,S034-B019,,"1\. Leave for a maximum period of 30 days in a year in addition to the public holidays that may be taken by the candidate. However, they are not entitled to any other vacation, such as summer, winter, and pooja vacations."
S034,S034-B020,,2\. Maternity leave as per the Govt. of India norms issued from time to time would be available at full rates of the fellowship once during the tenure of their award.
S034,S034-B021,,3\. Academic leave (without fellowship and other emoluments) shall be permissible only for one year throughout the tenure (for any kind of academic/teaching assignment/foreign visit in connection with research work). The period of leave without fellowship will be counted towards the tenure. Expenditure on foreign visits in connection to research work cannot be claimed by UGC
S034,S034-B022,,Note:** All kinds of leave should be approved at the level of the University/College/Institute.
S035,S035-B001,,Financial assistance is being provided to Transgender students on the following basis:**
S035,S035-B002,,For Transgender students from 7th std. to 10th std.:  ₹1000/- per month for 10 months
S035,S035-B003,,For Transgender students studying in Plus One & Plus Two:  ₹1500/- per month for 10 months
S035,S035-B004,,"For Transgender students pursuing Diploma, Degree, Post-Graduation, or Professional courses:  ₹2000/- per month for 10 months"
S036,S036-B001,,Value Of Scholarship***
S036,S036-B002,,"The value of the scholarship will be ₹ 1,000/- per month along with a contingent grant of ₹ 750/- per annum for the payment of tuition fees, purchase of books, cost of uniforms, etc."
S036,S036-B003,,Duration Of Scholarship***
S036,S036-B004,,The duration of the scholarship will cover the whole of the normal period of the particular degree programme to which the candidate is admitted.
S037,S037-B001,,The full tuition fee mentioned by the university will be paid by the government.
S037,S037-B002,,The full amount of personal health insurance will be paid by the government.
S037,S037-B003,,Subsistence allowance for the entire academic period (GBP 9900 for UK and USD 15400 for all countries except the UK) for the entire academic period as per the rate prescribed by the government.
S037,S037-B004,,The beneficiary will enjoy trip airfare (one time only).
S038,S038-B001,,"The student will be paid ₹3,500/- for a total of 10 months at the rate of Rs. 350/- per month."
S039,S039-B001,,"The beneficiary is to provide ₹100/- per month for 10 months i.e. ₹1,000/- for 10 months."
S040,S040-B001,,"**Stipend:** The interns will be paid a stipend of ₹7,000/- per month for the period of the internship."
S040,S040-B002,,"**Certificate of Internship:** Certificates will be awarded to interns upon satisfactory completion of their internship and on submission of their end-of-assignment Report, and its evaluation by the concerned official of SFIO."
S040,S040-B003,,Duration:** The internship will be for a minimum period of one month and a maximum period of two months.
S040,S040-B004,,Note:*** *The internship will neither be a job nor an assurance of a job in the Serious Fraud Investigation Office.*
S041,S041-B001,,"Under the scheme, financial assistance up to ₹1,00,000/- per year will be provided to transgender students for pursuing professional courses at the degree/diploma level."
S042,S042-B001,,"Each year, girls who pass the 12th standard with first-class marks from a village will be eligible."
S042,S042-B002,,Selected students will receive a scholarship of ₹500/- per month.
S042,S042-B003,,The scholarship will be provided for a maximum of 10 months per year.
S043,S043-B001,,The girl students of class VIII of Government Schools of this UT will be provided bicycle for free.
S044,S044-B001,,"Annual financial assistance of Rs. 5,000/- is provided for 10 months at the rate of Rs.500/- per month."
S045,S045-B001,,"₹2,500/- monthly stipends per student during the coaching period."
S045,S045-B002,,Free of cost coaching facility in reputed coaching institutes.
S046,S046-B001,,"Under this scheme, candidates who pass the preliminary examination of Civil Services Competitive Examinations are eligible for the following incentives:"
S046,S046-B002,,"Scheduled Caste and Scheduled Tribe candidates who pass the Preliminary Examination of the Combined Competitive Examination conducted by the Bihar Public Service Commission, Patna, will receive a one-time financial assistance of ₹50,000/- for further preparation."
S046,S046-B003,,"Scheduled Caste and Scheduled Tribe candidates who pass the Preliminary Examination of the Civil Services Competitive Examination conducted by the Union Public Service Commission, New Delhi, will receive a one-time financial assistance of ₹1,00,000/- for further preparation."
S047,S047-B001,,Distribution of Laptops.**
S047,S047-B002,,"Category I: Parent/guardian income up to ₹15,000/- per month - Full cost covered."
S047,S047-B003,,"Category II: Parent/guardian income from ₹15,000/- to ₹20,000/- per month - Half of the cost covered."
S047,S047-B004,,"Category III: Parent/guardian income above ₹20,000/- per month - Full cost to be paid by the beneficiary."
S048,S048-B001,,Maintenance Allowance (per month)***
S048,S048-B002,,"Group 1** (e.g., Medicine, Engineering): Hostellers ₹1,200/-, Day Scholars ₹550/-"
S048,S048-B003,,"Group 2** (e.g., Pharmacy, Nursing): Hostellers ₹820/-, Day Scholars ₹530/-"
S048,S048-B004,,"Group 3** (e.g., BA/BSc): Hostellers ₹570/, Day Scholars ₹300/-"
S048,S048-B005,,"Group 4** (e.g., ITI, Polytechnic): Hostellers ₹380/-, Day Scholars ₹230/-"
S048,S048-B006,,Other Benefits***
S048,S048-B007,,Reimbursement of Compulsory Non-refundable Fees.
S048,S048-B008,,Study Tour Charges.
S048,S048-B009,,Thesis Typing/Printing Charges for Research Scholars.
S048,S048-B010,,Book Allowance for Correspondence Courses.
S048,S048-B011,,Book Bank Facility for Specified Courses.
S048,S048-B012,,Additional Allowance for Students With Disabilities.
S048,S048-B013,,Conditions***
S048,S048-B014,,Benefits are for the complete duration of the course.
S048,S048-B015,,Hostel rent is provided as per scheme guidelines.
