scheme_id,step_id,section,step_or_instruction
S026,S026-A005,,"Step 4:** Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable)."
S027,S027-A001,,Online**
S027,S027-A002,,For the Implementing Agencies:***
S027,S027-A003,,The proposals must be submitted through the [official website](https://indian.handicrafts.gov.in/admin/en/users/login?redirect=%2Fadmin%2Fen).
S027,S027-A004,,NOTE 1:** The proposal sent earlier without any invitation or received after the timeline/last date mentioned above will not be entertained.
S027,S027-A005,,NOTE 2:** Incomplete proposals without the mandatory enclosures and proposals that are not clearly recommended and received after the due date will not be considered.
S028,S028-A001,,Online**
S028,S028-A002,,The applicants willing to install rooftop solar system under simplified procedure will be required to apply through National Portal. In order to register at National Portal the applicant will require an active mobile number and an active e-mail id. The applicant will also have to download SANDES APP for received OTP.
S028,S028-A003,,The entire process has been explained in the following steps.
S028,S028-A004,,"Step-1:** Download SANDES app and register on the National Portal by selecting the local Distribution Company or Electricity department, as the case may be, referred as DISCOM, and enter Electricity connection number / Consumer number  mentioned in electricity bill), email id and mobile number. The registration process involves OTP authentication of mobile number and activation through email id. While sending activation link on email, the entire procedure will also be communicated to the applicant."
S028,S028-A005,,"Step-2:** After successful registration the applicant can proceed for submitting application for installation of grid connected rooftop solar system at residential house. The information already entered at the time of registration will be prefilled in the application form and the applicant will have to enter details such as, name on electricity bill, address, capacity of proposed rooftop solar system and details of existing rooftop solar system capacity installed, if any. The applicant also has to upload copy of latest electricity bill. On submission of application, the applicant will get a copy of application on email and it can also be downloaded after login to the portal."
S028,S028-A006,,"Step-3:** Application will be forwarded to the DISCOM for technical feasibility approval as per prevailing regulations. The applicant is advised to initiate installation of the rooftop solar system only after getting the feasibility approval from DISCOM. The technical feasibility approval or rejection, as the case may be, will be informed to the applicant through email."
S028,S028-A007,,"Step-4.** On receipt of feasibility approval from DISCOM, the applicant can proceed to install rooftop solar system. It is mandatory to get the rooftop solar system installed from any of the vendor registered/empaneled with DISCOM. Ministry has specified minimum technical specifications and standards for rooftops solar systems, which are to be followed. The applicant will have the option to choose equipment of higher quality/efficiency. The domestically manufactured solar modules using domestically manufactured solar cells listed in the ALMM should only be used by the applicant. In addition, the inverter should also be BIS certified. In order to protect the interest of the applicant an agreement to be signed between applicant and the vendor and a model format of the agreement is available on National Portal under Help Document section. It is mandatory for the vendor to provide comprehensive maintenance of the rooftop solar plant installed by the firm for at least 5 years."
S028,S028-A008,,"Step-5:** On completion of installation of rooftop solar system, the applicant has to submit project completion details for net-metering and approval (The project completion details will include wattage, make and numbers of solar modules, make and wattage of inverter, name of vendor that has installed the system, uploading of photograph of system, etc). Applicant also has to apply for net-metering. The net-metering application will forwarded to DISCOM and applicant has to follow instructions of DISCOM regarding payment of net-metering charges, signing of net-metering agreement, etc., as applicable."
S028,S028-A009,,Step-6:** DISCOM officials will install the net-meter and inspect the system for fulfilment of minimum technical specifications and standards.
S028,S028-A010,,"Step-7:** Upon successful inspection and installation of net-meter, commissioning certificate would be generated online by DISCOM."
S028,S028-A011,,Step-8:** Applicant has to submit bank details and upload copy of cancelled cheque. The fund handling agency will release the central Government subsidy directly into the bank account. The details of central Government subsidy available under simplified procedure may be checked on the National Portal.
S028,S028-A012,,Note:** The applicant shall also check various informative material placed at Help Document section of the portal for better understanding of the procedure.
S029,S029-A001,,Offline**
S029,S029-A002,,"Step 1:** After the issue of notification regarding the scheme in the local newspapers, the interested applicant should visit (during office hours) the [Office/ Sub-Office](https://socwelfare.py.gov.in/sub--office-social-welfare-department) of the Department of Social Welfare, and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications."
S029,S029-A003,,OR
S029,S029-A004,,The interested applicant should take print of the prescribed format [﻿](https://wcd.py.gov.in/sites/default/files/wcdmarrigeofpoorbride.pdf)
S029,S029-A005,,of the application form.
S029,S029-A006,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S029,S029-A007,,Step 3:** Submit the duly filled and signed application form along with the documents to the authority given below -
S029,S029-A008,,"**Puducherry:** The Deputy Director, Differently Abled Section, Directorate of Social Welfare."
S029,S029-A009,,"**Karaikal:** The Assistant Director, Social Welfare Department (Sub Office)."
S029,S029-A010,,"**Mahe / Yanam:** The Welfare Officer (i\c), Social Welfare Department (Sub Office)."
S029,S029-A011,,"Step 4:** Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable)."
S030,S030-A001,,Offline**
S030,S030-A002,,Online**
S030,S030-A003,,"Interested and eligible applicants may send their applications in the [prescribed format](https://gecs.heavyindustries.gov.in/assets/site/main/DHIGECS_procedure_\(Revised\).pdf) along with all required documents to the following address: **The Under Secretary (AEI Section), Department of Heavy Industry, Udyog Bhavan, Room No 428, New Delhi 110011, Tel: 011-23061490**"
S030,S030-A004,,The applicant would inform DHI about the purchase of the vehicle and the Registration number of the vehicle to the Department of Heavy Industry within a period of 30 days from the date of registration of the vehicle.
S031,S031-A001,,Online**
S031,S031-A002,,Step 1:** Visit the [Official Website](https://goaonline.gov.in/public/startuplogin?) of Goa Startup Mission.
S031,S031-A003,,Step 2:** Verify your Email ID and Mobile Number using OTP. You will be redirected to the Registration Page.
S031,S031-A004,,"Step 3:** On the [Registration/Signup Page](https://goaonline.gov.in/Public/stpRegistration_af), fill in all the mandatory fields of the registration form (Country, Name, Date of Birth, Address, PIN Code, Gender, etc.)."
S031,S031-A005,,Step 4:** Create a Login Name and a strong Password (Password can have special characters like @ # $ % ^ & + =).
S031,S031-A006,,"Step 5:** Carefully read the Declaration and the Terms & Conditions, and tick the checkboxes."
S031,S031-A007,,"Step 6:** Fill in the Captcha Code, and click ""Register/Signup""."
S031,S031-A008,,"Step 7:** Login to the website using your Login Name and Password. Fill in the Captcha Code, and click ""Login""."
S031,S031-A009,,Step 8:** Navigate to the online application form for the relevant scheme.
S031,S031-A010,,"Step 9:** In the application form, fill in all the mandatory fields and upload all the mandatory documents (self-attest if required)."
S031,S031-A011,,Step 10:** Submit the application and note the application reference number for application tracking.
S031,S031-A012,,OR**
S031,S031-A013,,"Step 1:** Take a print of the [proforma](https://www.goa.gov.in/wp-content/uploads/2018/05/Schemes.pdf) of the application form. Fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest if required)."
S031,S031-A014,,Step 2:** Submit the duly filled and signed application form along with the documents to SPC via Email at spc-dit.goa\@gov.in
S031,S031-A015,,NOTE:** The applicant can apply for this scheme at any time of the financial year but only within 6 months of incurring the relevant expenditure.
S031,S031-A016,,Notification***
S031,S031-A017,,The applications received by the SPC shall be evaluated and approval or rejection shall be notified within 45 days from receipt of the application by the SPC.
S032,S032-A001,,Offline**
S032,S032-A002,,"Step 1:** The interested applicant should visit the [Office/ Sub-Office](https://fisheries.py.gov.in/sub-offices) of the Department of Fisheries and Fishermen Welfare, and request the hard copy of the [prescribed format](https://fisheries.py.gov.in/sites/default/files/subsidies-application007.pdf) of the application form from the concerned authority."
S032,S032-A003,,"Step 2:** In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required)."
S032,S032-A004,,Step 3:** Submit the duly filled and signed application form along with the documents to the concerned authority.
S032,S032-A005,,"Step 4:** Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable)."
S033,S033-A001,,Offline**
S033,S033-A002,,"The Applicant should contact District Differently Abled Welfare Officer and submit an application at the address of Assistant Director (DAW), O/o. The Commissionerate for Welfare of the Differently Abled, No.5, Kamarajar salai, Chennai – 600 005.  Ph: 044-28444940 District Collector / Managing Director of the Metropolitan / State Transport Corporation."
S034,S034-A001,,Online**
S034,S034-A002,,Applications are invited through online mode once a year through advertisements in leading newspapers & employment news. Short notification is also uploaded to the UGC Website: [https://www.ugc.gov.in/](https://www.ugc.gov.in/)﻿
S034,S034-A003,,Note:** Candidates have to apply strictly as per the instructions given in the online portal. Incomplete applications will not be considered.
S035,S035-A001,,Online**
S035,S035-A002,,Offline**
S035,S035-A003,,Registration Process:**
S035,S035-A004,,"Step 01:** To avail of the benefits of the scheme, the applicant needs to visit [SUNEETHI- Online Service Application Portal](https://suneethi.sjd.kerala.gov.in/)﻿"
S035,S035-A005,,"Step 02:** On the home page, click on “One time Registration”"
S035,S035-A006,,"Step 03:** Fill in the details like Name, Email ID & Mobile Number and click on ‘Register’."
S035,S035-A007,,Step 04:** The applicant needs to enter the verification code receive on the mobile number and click on ‘Verify’.
S035,S035-A008,,"Step 05:** Now, a form will open to create a new profile, fill in all the mandatory details and click on ‘Register’."
S035,S035-A009,,Login/Application Process:**
S035,S035-A010,,"Step 01:** Once the registration process is complete, the applicant should visit [SUNEETHI- Online Service Application Portal](https://suneethi.sjd.kerala.gov.in/Citizen_Platform/suneethi/auth-login.php) and click on “Citizen Login”."
S035,S035-A011,,Step 02:** Enter your user name i.e. Mobile Number and Password and click on “Sign in”.
S035,S035-A012,,"Step 03:** Now, the applicant needs to update all their details i.e. Personal Information, Contact Details, Identity Cards & Bank Details by clicking on the ‘Edit’ button."
S035,S035-A013,,"Step 04:** Once the applicant updated their profile successfully, the schemes will appear on the left side of the screen."
S035,S035-A014,,"Step 05:** Now, the applicant may select the scheme and click on the “Apply Now” button."
S035,S035-A015,,Step 06:** Fill in all the mandatory details in the application form and click on the ‘Submit’ button.
S035,S035-A016,,﻿[User Manual ](https://suneethi.sjd.kerala.gov.in/Citizen_Platform/suneethi/Suneethi-%20user%20manual.pdf)﻿
S036,S036-A001,,Offline**
S036,S036-A002,,Step 1:** The scholarship amount as well as the contingent grant will be remitted to the respective institutions by the Council based on the demand received from each institution through the Registrar / Comptroller of the University in the prescribed [proforma](https://education.icar.gov.in/pdf/format-PMS-2017.pdf).[﻿](https://education.icar.gov.in/pdf/format-PMS-2017.pdf)
S036,S036-A003,,﻿
S036,S036-A004,,Step 2:** The students will be eligible to receive scholarships and contingent grants from the date of joining the course.
S036,S036-A005,,Procedure of Selection:***
S036,S036-A006,,The scheme provides for the award of 240 scholarships every year. These scholarships will be earmarked for individual Agricultural Universities in proportion to the actual number of scheduled castes / scheduled tribes candidates admitted.
S036,S036-A007,,A tentative distribution of scholarships will first be made to various agricultural universities on the basis of seats reserved by the individual agricultural universities for SC/ST candidates.
S036,S036-A008,,"The actual number of scholarship allotted to the universities every year would, however, be determined on the basis of actual SC/ST students admitted so as to maintain approximately equal proportion between the number of SC/ST students admitted in each university to the number of scholarships available."
S036,S036-A009,,Payment of Scholarship***
S036,S036-A010,,(a) The students will be eligible to receive scholarship and contingent grant from the date of joining the course.
S036,S036-A011,,(b) The scholarship amount as well as the contingent grant will be remitted to the respective institutions by the Council on the basis of the demand received from each institution through the Registrar / Comptroller of the University in the prescribed proforma.
S036,S036-A012,,(c) Scholarship during the leave on medical grounds will be admissible as follows:-
S036,S036-A013,,Full scholarship will be paid if the absence does not exceed two months due to illness supported by medical certificate as prescribed by the concerned university.
S036,S036-A014,,Half the scholarship will be paid if the absence exceeds two months but not four months. The first two months scholarship will be paid on full rates and the half scholarship will be paid on full rates and the half scholarship will be paid for the preceding two months.
S036,S036-A015,,"No scholarship will be given if the absence exceeds four months. The payment of scholarship for the first four months, however, will be governed by the sub-clause (1) and (2) above."
S036,S036-A016,,"In the case of married women, the scholarship will be admissible at full rates upto three months absence on grounds of maternity. However, no scholarship will be paid for the period exceeding three months."
S036,S036-A017,,"In all the above cases (sub-clause 1 to 4), the scholarship at the rates indicated will be paid only if the Head of the Institution recommends the application of the students and certifies that the scholar is likely to make up the deficiency in studies subsequently."
S036,S036-A018,,All these concessions indicated above in clause (1) to (4) will be available only once in the whole duration of the course.
S036,S036-A019,,"(d) Normally, the scholarship will be continued from year to year provided the student makes satisfactory progress as prescribed by the University. However, in case the student fees on academic probation, the scholarship for the period of academic probation will be paid only at half the rates. This concession will, however, be available for one time only during the entire duration. If the student goes on academic probation for a second time during the period of the course. He will not receive any scholarship for the period of academic probation."
S037,S037-A001,,Online**
S037,S037-A002,,Step 01:** Applications for this scholarship are invited online every year.
S037,S037-A003,,Step 02:** The applicant should visit the official website/portal of the Directorate of Technical Education: [www.dtemaharashtra.gov.in](https://www.dtemaharashtra.gov.in/)﻿
S037,S037-A004,,Step 03:** The applicant should register herself/himself on the official website.
S037,S037-A005,,"Step 04:** Accordingly, the application is received by the Directorate of Training on the online portal till the deadline, After scrutinizing the details of the candidates and checking the eligibility conditions/conditions. A list will be prepared."
S038,S038-A001,,Online**
S038,S038-A002,,Applicants have to visit the official [web portal](https://tad.rajasthan.gov.in/Content/Hindi/index.aspx).
S038,S038-A003,,"On the Home page, click on ""Online Portal For Tad Educational Incentive Schemes""."
S038,S038-A004,,Now click on “click here to apply online”.
S038,S038-A005,,"If applicants are existing SSO users, log in with their SSO user and password. and If applicants don’t have SSO Id then create one by clicking “Registration”. Applicants can create SSO IDs by using Janaadhar & Google"
S038,S038-A006,,"After completing the SSO profile click on the “SCHOLARSHIP (CE, TAD, MINORITY)” App."
S038,S038-A007,,Select the “STUDENT” button.
S038,S038-A008,,Select Appropriate Scheme and click on the “Next” button
S038,S038-A009,,Fill out all required academic information and click on the “Submit” button
S039,S039-A001,,Online**
S039,S039-A002,,Step 1:** Visit the official website of [https://mahadbt.maharashtra.gov.in](https://mahadbt.maharashtra.gov.in/).
S039,S039-A003,,"Step 2:** Click on ""[New Applicant Registration](https://mahadbt.maharashtra.gov.in/RegistrationLogin/RegistrationLogin)"". Register using your Name, Mobile Number, and Email ID. Create a Username and Password. Your Mobile Number and Email ID will be verified via OTP."
S039,S039-A004,,Step 3:** Now visit to[ Login Page](https://mahadbt.maharashtra.gov.in/Login/Login) and log in using your Username and Password.
S039,S039-A005,,"You will be directed to [Home Page](https://mahadbt.maharashtra.gov.in/Home/Home)﻿[. ](https://mahadbt.maharashtra.gov.in/Home/Home)In the left pane, click ""Aadhaar Bank Link"" to link your Aadhaar with your Bank Account."
S039,S039-A006,,"Step 4:** In the left pane, click ""Profile"". Fill in all the mandatory details and upload the mandatory documents (Personal Details, Address Information, Other Information, Current Course, Past Qualification, and Hostel Details). Click ""Save""."
S039,S039-A007,,"Step 5:** In the left pane, click ""All Schemes"". A list of schemes will appear. Click on ""Savitribai Phule Scholarship""."
S039,S039-A008,,"Step 6:** Fill in all the additional information and upload the mandatory documents. Click ""Submit"" to submit your application. A pop-up will appear, displaying your Application ID. Save the Application ID for future reference. Click ""OK""."
S039,S039-A009,,"Optional:** You can track the status of your application (Under Scrutiny / Approved / Rejected / Fund Disbursed) by clicking on ""My Applied Scheme History"" in the left pane."
S040,S040-A001,,Offline**
S040,S040-A002,,"The institutions are required to send the duly filled and signed application forms, along with the required documents (self-attested) received from the interested students to SFIO. In case any clarifications, the institute/applicant can write an email to [**admn.hq@sfio.nic.in**](mailto\:admn.hq@sfio.nic.in)."
S040,S040-A003,,The institutions must also intimate the convenient time of the year for the students to join the internship program and the permissible duration as per the academic curriculum.
S040,S040-A004,,The final selection will be made by the competent authority based on the applicant's suitability and the availability of positions.
S040,S040-A005,,The application form may be downloaded from the official website i.e [https://cdnbbsr.s3waas.gov.in/s3d51b416788b6ee70eb0c381c06efc9f1/uploads/2025/03/202503122064427326.pdf](https://cdnbbsr.s3waas.gov.in/s3d51b416788b6ee70eb0c381c06efc9f1/uploads/2025/03/202503122064427326.pdf) [﻿](https://sfio.gov.in/en/notice/internship-programme-in-sfio-3/)
S040,S040-A006,,(**Refer page no.8**).
S041,S041-A001,,Online**
S041,S041-A002,,Offline**
S041,S041-A003,,Registration Process:**
S041,S041-A004,,"Step 01:** To avail of the benefits of the scheme, the applicant needs to visit [SUNEETHI- Online Service Application Portal](https://suneethi.sjd.kerala.gov.in/)﻿"
S041,S041-A005,,"Step 02:** On the home page, click on “One time Registration”"
S041,S041-A006,,"Step 03:** Fill in the details like Name, Email ID & Mobile Number and click on ‘Register’."
S041,S041-A007,,Step 04:** The applicant needs to enter the verification code received on the mobile number and click on ‘Verify’.
S041,S041-A008,,"Step 05:** Now, a form will open to create the new profile, fill in all the mandatory details and click on ‘Register’."
S041,S041-A009,,Login/Application Process:**
S041,S041-A010,,"Step 01:** Once the registration process is completed, the applicant should visit [SUNEETHI- Online Service Application Portal](https://suneethi.sjd.kerala.gov.in/) and click on “Citizen Login”."
S041,S041-A011,,Step 02:** Enter the user name i.e. Mobile Number and Password and click on “Sign in”.
S041,S041-A012,,"Step 03:** Now, the applicant needs to update all their details i.e. Personal Information, Contact Details, Identity Cards & Bank Details by clicking on the 'Edit' button."
S041,S041-A013,,"Step 04:** Once the applicant updated their profile successfully, the schemes will appear on the left side of the screen."
S041,S041-A014,,Step 05:** Select the scheme and click on the “Apply Now” button.
S041,S041-A015,,Step 06:** Fill in all the mandatory details in the application form and click on the ‘Submit’ button.
S042,S042-A001,,Online**
S042,S042-A002,,SC/ST/OBC/General girl students should register themselves on the [portal.](http://www.scholarshipportal.mp.nic.in/Index.aspx)﻿
S042,S042-A003,,Click on New Registration for Gaon Ki Beti and fill out the required details.
S042,S042-A004,,Now they can apply for the benefits of the scheme by logging in with the registration ID on the [portal](http://www.scholarshipportal.mp.nic.in/sLogin.aspx).
S043,S043-A001,,Offline**
S043,S043-A002,,1\.	The concerned Head of the school shall provide the enrolment of Girls student in Std. VIII in respective Government Schools to the respective District Education Office.
S043,S043-A003,,Note:**
S043,S043-A004,,The girl student does not required to make any application individually.
S043,S043-A005,,2\.	Bicycles will be provided to the girl student at the time of commencement of the New Academic Year as per the enrollment provided by the Head of the schools.
S043,S043-A006,,Contact for Grievance Redressal:***
S043,S043-A007,,| **Dadra and Nagar HaveliDamanDiu**                                                                    |                                                                                                              |                                                                        |
S043,S043-A008,,| ----------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------ | ---------------------------------------------------------------------- |
S043,S043-A009,,"| District Education Office , First Floor, Lekha Bhavan, Amli, Silvassa, Pin – 396230, Ph: 0260-2642098 | Education Office (Daman) Shiksha Sadan, Moti Daman, Pin - 396220, Ph: 0260 2231126, Email: diredu-dd @nic.in | Education Department, Collectorate, Diu, Pin: 362520, Ph: 02875-252199 |"
S044,S044-A001,,Online**
S044,S044-A002,,Applicant to log in to [RajSSO](https://sso.rajasthan.gov.in/) Portal using his/her SSOID.
S044,S044-A003,,If SSOID is not available then the applicant to first [register ](https://sso.rajasthan.gov.in/register)on RajSSO Portal to create SSOID and update SSO Profile at first login.
S044,S044-A004,,After successful authentication/login and updation of the SSOID Profile and select the scheme name.
S044,S044-A005,,"Select his/her name, the bank account and fill in personal details."
S044,S044-A006,,Upload the required document.
S044,S044-A007,,Click the “SUBMIT” button.
S045,S045-A001,,Online**
S045,S045-A002,,Registration Process:***
S045,S045-A003,,"Step 01:** Go to the official website of [Mukhyamantri Shiksha Protsahan Yojana](https://mukhyamantri.apphost.in/) and click on ""Registration""."
S045,S045-A004,,"Step 02:** Fill the required details name, mobile number email id and complete the process."
S045,S045-A005,,Step 03:** The student will get an confirmation SMS registered mobile number and an email id.
S045,S045-A006,,Application  Process:***
S045,S045-A007,,Step 01:** Fill the application form and upload the required documents.
S045,S045-A008,,"Step 02:** Click on ""Submit"" to get application Id."
S045,S045-A009,,NOTE:**
S045,S045-A010,,The student must secure at least 75% attendance for the entire duration of the coaching.
S046,S046-A001,,Online**
S046,S046-A002,,Registration Process:***
S046,S046-A003,,Step 1:** Visit the department's [official website](https://bcebconline.bihar.gov.in/cspy/EBCscholarship/Index.aspx) to apply under the scheme.
S046,S046-A004,,"Step 2:** On the homepage, select the scheme and click the ""[New Registration](https://bcebconline.bihar.gov.in/cspy/EBCscholarship/PETC_Terms.aspx)"" button if you are a new applicant."
S046,S046-A005,,"Step 3:** Carefully read the ""Guidelines for Registration"" and click ""Continue."""
S046,S046-A006,,"Step 4:** Fill out the form by entering your details, educational qualifications, and other required information."
S046,S046-A007,,"Step 5:** Upload your photograph, signature, and any necessary documents."
S046,S046-A008,,Step 6:** Ensure all fields marked with an asterisk (\*) are filled in correctly.
S046,S046-A009,,"Step 7:** Once all the required information is entered, click the ""Submit"" button. Upon successful submission, you will receive a registration ID and password."
S046,S046-A010,,Process to apply for scheme:***
S046,S046-A011,,Step 1:** Revisit the department's [official website](https://bcebconline.bihar.gov.in/cspy/EBCscholarship/Index.aspx).
S046,S046-A012,,"Step 2:** Click on the ""[Applicant Login](https://bcebconline.bihar.gov.in/cspy/EBCscholarship/Login.aspx)"" button."
S046,S046-A013,,"Step 3:** Enter your User ID, Password, and the verification code."
S046,S046-A014,,"Step 4:** Click ""Login"" to access your account and fill out the application form."
S046,S046-A015,,Step 5:** Verify your entries before submitting the application. No modifications can be made after the final submission.
S046,S046-A016,,"Step 6:** After verifying your application form, click ""Submit"" to save your application."
S046,S046-A017,,You may print the application form as a draft.
S046,S046-A018,,An application ID will be generated after the final submission.
S046,S046-A019,,Only the final submission will be considered.
S046,S046-A020,,Step 7:**  Print a copy of the finally submitted application form.
S047,S047-A001,,Online**
S047,S047-A002,,Step 01:** The interested student needs to visit the [official website](https://apdascac.ap.gov.in/).
S047,S047-A003,,"Step 02:** Click on the ""Online Applications"" on the home page."
S047,S047-A004,,"Step 03:** Select the category ""click here to apply for differently abled schemes"""
S047,S047-A005,,"Step 04:** Now click on ""Apply Online"" respect to the scheme name."
S047,S047-A006,,Step 05:** And confirm your registration.
S047,S047-A007,,If applicant was not register earlier***
S047,S047-A008,,"Step 06:** Answer the above registration question as ""No""."
S047,S047-A009,,"Step 07:** Fill in your Aadhaar card name, Aadhaar number, Mobile number, email ID."
S047,S047-A010,,Step 08:** Create a new password for this application.
S047,S047-A011,,"Step 09:** Click on ""Register"" After that get the registration number."
S047,S047-A012,,After the registration***
S047,S047-A013,,Step 10:** Click here to Login.
S047,S047-A014,,"Step 11:** Again, ask the same ""Are you registered already: Yes/No Select ""Yes""."
S047,S047-A015,,Step 12:** Enter email/mobile number and password.
S047,S047-A016,,"Step 13:** Click on ""Login"" and select the category again ""click here to apply for differently abled schemes"" ."
S047,S047-A017,,Step 14:** Fill out the application form for personal employment and disability detail.
S047,S047-A018,,"Step 15:** Click on ""Submit""."
S048,S048-A001,,Online**
S048,S048-A002,,Registration***
S048,S048-A003,,Step 1:** Visit the [e-District Portal](https://edistrict.delhigovt.nic.in/) of the Govt. of NCT of Delhi.
S048,S048-A004,,"Step 2:** On the top right corner of the homepage, click “[Login/Register](https://edistrict.delhigovt.nic.in/Account/Login)”, then click “[Register](https://edistrict.delhigovt.nic.in/in/en/Account/Register.html)"". You will be taken to the ""Citizen Registration Form"". Carefully read the “Guidelines for Online Registration” provided at the bottom of the page."
S048,S048-A005,,"Step 3:** In the Citizen Registration Form, select ""Aadhaar Card"" as the Document Type, and provide the Aadhaar Number. Fill in the captcha code and click “Continue”."
S048,S048-A006,,"Step 4:** On the next page, fill in all the mandatory fields. If required, verify your Email ID and Mobile Number via OTP. Enter the Captcha code and click “Continue to Register”. You will receive your Login ID and Password on the Mobile Number/Email Address provided during the registration."
S048,S048-A007,,Application***
S048,S048-A008,,Step 1:** Visit the [e-District Portal](https://edistrict.delhigovt.nic.in/) of the Govt. of NCT of Delhi.
S048,S048-A009,,"Step 2:** On the top right corner of the homepage, click “[Login/Register](https://edistrict.delhigovt.nic.in/Account/Login)”, you will be taken to the “Citizen Login Form”"
S048,S048-A010,,"Step 3:** Provide your Login ID and Password, enter the Captcha code and click “Login”."
S048,S048-A011,,Step 4:** Go to the home page and click “Apply Service”. Navigate to the scheme that you intend to apply for. Click on the name of the scheme. You will be taken to the scheme's online application form.
S048,S048-A012,,"Step 5:** In the application form, fill in all the mandatory fields and upload all the mandatory documents in the specified format and size. Carefully review all the information provided and the documents uploaded. Make any necessary corrections. Acknowledge and agree to the terms and conditions and/or declaration (if any), then click ""Finish”."
S048,S048-A013,,Step 6:** An OTP will be received on the registered mobile number. Provide the OTP and click “Submit”. An acknowledgement of successful submission shall be sent over Email/SMS/Both.
S048,S048-A014,,Track Application Status***
S048,S048-A015,,"Step 1:** Visit the ""[Track Your Application](https://edistrict.delhigovt.nic.in/Public/TrackApplication)"" page."
S048,S048-A016,,"Step 2:** Fill in all the mandatory fields. Enter the Captcha Code, and click ""Submit""."
S048,S048-A017,,Your current application status will be displayed.
S049,S049-A001,,Offline**
S049,S049-A002,,Online**
S049,S049-A003,,"To apply under the scheme, the eligible student has to visit the nearest Bank branch office from where he/she has availed the facility of Education Loan for studying from a recognized institute in India."
S049,S049-A004,,Note:** Nodal Bank shall disburse the subsidy in the Education Loan account of the beneficiaries in DBT mode through PFMS Portal. It is the sole responsibility of the lending bank to claim interest subsidy on behalf of eligible beneficiaries on a yearly basis.
S050,S050-A001,,Online**
S050,S050-A002,,Offline**
S050,S050-A003,,Online - via CSCs**
S050,S050-A004,,"Step 1:** Visit the [Official Website](https://pmfby.gov.in/) of ""Pradhan Mantri Fasal Bima Yojana""."
S050,S050-A005,,"Step 2:** At the top right corner of the homepage, click ""Farmer Corner""."
S050,S050-A006,,"In the popup window, click ""Guest Farmer"". You will be taken to the [Online Registration Form](https://pmfby.gov.in/farmerRegistrationForm)."
S050,S050-A007,,"\*If already registered, skip to Step: 4.*"
S050,S050-A008,,"Step 3:** In the Registration Form, fill in the following mandatory fields (marked with a red asterisk):"
S050,S050-A009,,"""FARMER DETAILS"" Section:*** Full Name, Passbook Name, Relationship, Relative Name, Mobile No., Age, Caste Category, Gender, Farmer Type, Farmer Category,"
S050,S050-A010,,"""RESIDENTIAL DETAILS"" Section:*** State, District, Sub District, Residential Village/ Town, Address, PIN Code"
S050,S050-A011,,"""FARMER ID"" Section: ID Type, ID No,"
S050,S050-A012,,"""ACCOUNT DETAILS"" Section:*** IFSC, Bank Name, Branch Name, Savings Bank A/C No., Confirm Savings Bank A/C No.."
S050,S050-A013,,"At the bottom of the registration form, fill in the Captcha Code and click ""Create User""."
S050,S050-A014,,"Step 4:** Upon successful registration, click ""Farmer Corner (Apply for Crop Insurance Yourself)""."
S050,S050-A015,,"In the popup window, click ""Login for Farmer"". You will be taken to the Login Page."
S050,S050-A016,,https\://pmfby.gov.in/farmerLogin
S050,S050-A017,,"Step 5:** On the Login Page, provide your Mobile Number, fill the Captcha Code, then click ""Request for OTP"". Enter the OTP received on your registered Mobile Number, and click ""Submit"". You will be taken to the ""Farmer Application Form""."
S050,S050-A018,,Step 6:** Fill in all the mandatory fields of the Application Form and upload all the mandatory documents in the specified format and size.
S050,S050-A019,,"Click ""Preview"" to carefully review all the information provided and the uploaded documents. Click ""Submit"" to submit your application. You'll receive a confirmation message."
S050,S050-A020,,"Step 7:** In the popup window, the following options will be displayed: ""Pay Later"" and ""Make Payment"". Select ""Pay Later"" if you intend to pay for the insurance at a later stage. Else, select ""Make Payment""."
S050,S050-A021,,"Step 8:** Upon successful payment, you may print the receipt of the payment."
S050,S050-A022,,Track Your Application***
S050,S050-A023,,You can track the application status on the PMFBY website through the ‘Application Status’ option on the home page.
